"TCP" "NDN"
28.4182 37.8007
34.1432 34.1605
61.5797 41.2776
30.9894 29.7621
36.5395 35.1419
40.2649 40.2784
47.1354 51.4983
41.8873 57.1809
32.8176 27.2577
27.3426 25.7119
66.003 44.5658
58.2677 36.1231
72.0075 32.7283
41.9721 31.0994
64.4987 49.8974
37.0222 30.15
20.5704 14.1552
19.5937 11.4123
27.9034 18.3743
23.8517 24.8759
29.6478 31.9904
31.9354 43.6555
49.2043 44.385
21.4078 22.9116
32.4418 33.5843
48.8254 33.9299
44.9502 38.2127
25.5048 27.3237
37.695 32.6673
32.8848 40.7687
37.5733 34.4264
52.2721 58.0771
19.4708 14.4234
93.1774 38.4032
31.6196 36.7948
23.3264 26.1441
44.3409 48.716
59.4232 27.4602
66.3618 53.0651
106.488 62.8525
32.6123 35.7555
41.3091 44.8788
99.1158 46.1307
27.3675 28.5484
68.865 43.6636
36.3194 35.7258
79.8037 64.1623
86.8953 38.0164
55.9127 27.5409
33.8723 20.2509
37.3812 38.7198
41.9926 56.4629
43.27 46.4913
55.0253 30.6395
30.6197 39.7333
41.958 53.1082
26.9598 30.5862
42.3095 52.2831
26.955 37.5215
40.0701 52.8269
80.0469 49.6215
60.1897 41.8518
23.1399 37.3465
68.745 43.0365
65.0229 44.5172
41.7761 44.2326
22.8714 29.2253
39.6967 32.5992
37.5714 45.8436
19.3742 22.5306
52.5182 58.1457
25.2197 22.6041
30.3279 31.5379
33.3896 45.1052
35.6639 40.1759
27.8529 16.2501
22.7303 21.4295
41.6022 28.8034
26.9138 31.293
41.9197 33.7863
76.7443 52.0883
55.485 67.025
40.3614 69.1708
56.6131 40.8359
61.1551 67.7178
79.055 56.6486
26.5118 37.5946
37.5476 39.2199
29.1362 29.7721
37.9579 40.7843
29.5392 25.649
53.5649 41.9395
38.7346 37.5575
42.8052 35.5494
25.8586 31.3471
44.7592 40.4173
56.4928 16.4359
49.5516 32.0677
21.0017 19.2556
49.7311 44.3526
28.4383 22.2536
69.5587 39.8483
